"","class","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"1","Actinobacteria",0.0666666666666667,0.048924149537204,0.0284204345273048,0.0279506273589717,0.212773722627738,0.0283732357049954,0.00357888458097226,0.161966738973246,0.180850337814781,0.0179425837320574,0.0752150286105013,0.0967342899554677,0.0348938644954929,0.113899613899614,0.107697283311772,0.112991037775358,0.0281193702514295,0.125542377784206,0.0269449996298764,0.0384615384615385,0.0379957150977221,0.0329621380846325,0.0675740849900863,0.395961538461539,0.0447525567986822,0.0220690723246089,0.0278494713179585,0.179161628375655,0.0280184681550819,0.00406360424028268,0.164124293785311,0.172564902728903,0.0202985074626866,0.0750399922439285,0.0914896389938747,0.0303944315545244,0.115420860190735,0.0929261862917398,0.111595607235142,0.0260223048327137,0.123460688348595,0.02615022703649,0.12240663900415,0.0389256198347107,0.0327095616508588,0.0653960361853463,0.382015503875969,0.0103822557810288,0.0129513343799058,0.0204985241062644,0.00342917436032709,0.0128389596015495,0.000732146879927913,0.00730215117426485,0.000973994350832766,0.0174654752233956,0.00465707027942422,0,0.00225548492925979,0.00067330999192028,0.00204415372035977,0.01903440071379,0.00897542115437725,0.0124103473285518,0.00936663693131133,0.00188344781741635,0.0118267946843009,0.00922339051835455,0.00156419203465287,0.00581140350877193,0.0135268562401264,0.0118692592150781,0.0217706821480406,0.00503278938538966,0.0153989011839356,0.000956184262331965,0.00645113994575177,0.00127764127764128,0.0129666011787819,0.00170940170940171,9.59969280983009e-05,0.00242673137950345,0.000879700901693424,0.00259769595662977,0.0120141342756184,0.00682830282038593,0.0116929842094743,0.00617864338482203,0.00247696423263648,0.0114916372738651,0.0111456713322965,0.00203883495145631,0.00549605411499436,0,0.0274995333789585,0.0295537956345374
"2","Alphaproteobacteria",0,0,0.000117439812096301,0,0,0,9.94134605825629e-05,0.000401703221659838,0,0,0,0.00074220682830282,0.000484637006881845,0,0,0.00033503643521233,0.000234980809900525,0,0.000629210156192168,0,0,0.000127266942411709,0,0.00163461538461538,0.000137277781591049,7.7435341489856e-05,4.16285072017317e-05,0,0,0,0.000282485875706215,0.00119513976495585,0,9.69508943720006e-05,0.00156392545288675,0.000232018561484919,0,0.000219683655536028,0.000645994832041344,0,0,0.000437660703539581,0,0,0.000256344527044348,0,0.00217054263565891,0,0.0248037676609105,0.00032797638570023,0.000131891321551042,0,0,0.0779553976712058,0,0,0.000423370025402202,0.000155038759689922,0.000410088168956325,0.000134661998384056,0,0.000198275007435313,0,0.00773632041260375,0.00289919714540589,0.00044316419233326,0.00756660520124626,0.0138350857775318,0.000120322464204067,0.000109649122807018,0,0.0244542526541811,0.000290275761973875,0,0,0,0.0659775676270069,0,6.54878847413229e-05,0,0,0.000933358222885943,0,0,0.000141342756183746,0,0.00859484309414352,0.00550705171255877,0.000198157138610918,0.00694049379906701,0.00751684810782789,0,0,0,0,0
"3","Bacilli",0,0.0353407861521817,0.0423957721667646,0.0326430684484342,0.104379562043796,0.0411869550556385,0.00994134605825629,0.11472644010605,0.216610932914761,0.111483253588517,0.132364055133696,0.165512122711529,0.0585441504313269,0.113669792241221,0.189197930142303,0.0701063740681799,0.0450379885642673,0.112091408735898,0.038529868976238,0,0.0745485549385684,0.0494432071269487,0.153716306735973,0.132692307692308,0.0335644175990116,0.0442930153321976,0.0363416867871118,0.104997984683595,0.0371892985895895,0.00936395759717315,0.116949152542373,0.233782617356085,0.106567164179104,0.128896214067575,0.160953994526261,0.0573085846867749,0.122017414904444,0.175087873462214,0.0665374677002584,0.0425893001454663,0.102620776760341,0.0353958093987636,0.0352697095435684,0.0759504132231404,0.045167905665214,0.152924521787169,0.135090439276486,0.0108541764983483,0.00816326530612245,0.0088553624139062,0.0902136639409127,0.0111787493082457,0.00799729668844334,0.00394710874284586,0.0016557903964157,0.0190901705930138,0.00423370025402201,0.0384496124031008,0.0248103342218577,0.00861836789657958,0.017579721995094,0.00356895013383563,0.0190555095277547,0.0167620275606415,0.0107047279214987,0.0147352093950809,0.0145609461435747,0.0106991330012913,0.00986644206473349,0.0149122807017544,0.0114533965244866,0.010557079804366,0.0129656507014998,0.0886075949367089,0.0121488818385824,0.019067439113561,0.00417857928304377,0.00216216216216216,0.0147347740667976,0.00277777777777778,0.0589421138523567,0.0253873436624976,0.00846712117879921,0.0243957533318275,0.00296819787985866,0.0162295893122217,0.0148410953427943,0.0138347884486232,0.0269493708510849,0.0225281602002503,0.0106272680145153,0.00961165048543689,0.0157835400225479,0,0.253281901325204,0.259030326443887
"4","Bacteroidia",0.333333333333333,0.323476379372521,0.281620669406929,0.241558706518413,0.237226277372263,0.302134014162532,0.385823640520927,0.10821884791516,0.267112536681908,0.241267942583732,0.274372908194479,0.189262741217219,0.160802558883396,0.210194888766317,0.178848641655886,0.181924784320295,0.240933657084671,0.0883714203066243,0.0951217706714041,0.0384615384615385,0.296926238467929,0.288895959274579,0.213520175767644,0.141730769230769,0.328643009128972,0.282638996437974,0.239863458496378,0.260983474405482,0.296881917652268,0.403533568904594,0.116949152542373,0.23604010357878,0.242164179104478,0.285762761161472,0.196272644337287,0.151044083526682,0.203965471747899,0.182117750439367,0.191537467700258,0.24155487312106,0.0748342279760026,0.0884621697029377,0.233207987551867,0.3,0.283106895667777,0.217457357917271,0.148527131782946,0.577159037281737,0.37574568288854,0.494096425057395,0.613690319176998,0.261759822910903,0.676728993016445,0.531280836787053,0.663971948962696,0.530869212022746,0.70956816257409,0.564031007751938,0.429259790855034,0.615136008618368,0.832788225674572,0.518935263210072,0.539077602872134,0.49093399951648,0.318019625334523,0.132838466651895,0.598842754498633,0.562626821619627,0.588316688725785,0.517434210526316,0.559932859399685,0.475366813789812,0.216448959845187,0.615677901479335,0.271453996749981,0.542325215141459,0.54981306355839,0.626437346437346,0.577013752455796,0.687891737891738,0.610156474992801,0.437371663244353,0.609192874422696,0.772080415631354,0.593074204946996,0.552993567540822,0.494053567859284,0.288918737407656,0.199147924303973,0.462396177039481,0.527043373077587,0.373009708737864,0.524520856820744,0.538461538461539,0.118397312262801,0.134054471701758
"5","Betaproteobacteria",0,0.0656328885683375,0.0993540810334704,0.0252983780475365,0.00693430656934307,0.0436437207957995,0.0365841534943831,0.0632280870892585,0.00853067631201802,0.0276315789473684,0.0413502717097924,0.02894606630381,0.0050402248715712,0.0706012134583563,0.0695342820181113,0.000670072870424659,0.0162136758831363,0.068990454150998,0.18347027907321,0.115384615384615,0.0344541121944821,0.22379891823099,0.04080703070575,0.00153846153846154,0.0615004461527902,0.0998141551804244,0.0255182749146616,0.00201531640467554,0.0462968819176523,0.0318021201413427,0.0646892655367232,0.00544452559590997,0.0294029850746269,0.0405739492946823,0.0295842564837743,0.00487238979118329,0.0655886011534547,0.0599736379613357,0.000484496124031008,0.0181024729271052,0.0610988317019261,0.173094808249904,0.0302126556016597,0.0353305785123967,0.221122789028454,0.0374974103998342,0.00186046511627907,0.00613496932515338,0.0115384615384615,0.0301738274844212,0.0138485887628594,0.00741560597675706,0.0113764361342645,0.0110519044799684,0.0143177169572416,0.00192932575142161,0.0101608806096528,0.0127131782945736,0.0055361902809104,0.00067330999192028,0.000681384573453257,0.00743531277882423,0.0212648439657553,0.00249818679990329,0.0144959857270294,0.0182805229337469,0.00953773764862974,0.00147574248293673,0.0115509565635905,0.0037280701754386,0.0054304897314376,0.0146129070738399,0.00774068698597,0.0146408418484063,0.00928576955815213,0.013780302604196,0.0116560369474379,0.0133660933660934,0.00124426981008513,0.0101139601139601,0.0119996160122876,0.00513347022587269,0,0.000225886604924328,0.00720848056537102,0.0228599703117268,0.00364781131321207,0.018938885157824,0.0129792925790151,0.00694049379906701,0.00233281493001555,0.010873786407767,0.0028184892897407,0,0.00192870030485908,0.00347691713347499
"6","Chloroplast",0,0.00432744320230797,0.0556664709336465,0.000510047944506784,0,0,9.94134605825629e-05,0.000160681288663935,0.000477717873473009,0,3.5988051966747e-05,0.00012370113805047,0.000290782204129107,0,0.000323415265200517,0,7.83269366335083e-05,0.000867804454729534,0.000407135983418462,0,0,0.000254533884823417,0.000616258507046782,0,0.00617750017159723,0.055366269165247,0.000457913579219049,0,0,0,0,0.00192550295465109,0,0,0.000130327121073895,0,0,0,0,0,0.000473634354278497,0,0,0,0.000512689054088695,0.000517920033146882,0.000103359173126615,0.00047192071731949,0,0,0,0,0,0,0,0.000101543460601137,0,0.000155038759689922,0,0,0,0.000842668781600079,0,0,0.000892060660124889,0,0,0,0,0.000109649122807018,0.000296208530805687,0.000119289037337469,0,0,0,0,0,0,0,0,0,0,0,0,0.000282685512367491,0,4.99700179892065e-05,0.000671591672263264,0,0,0,0,0,0,0,0
"7","Clostridia",0.333333333333333,0.0828224546219498,0.0656488549618321,0.107314087524227,0.0788321167883211,0.104292114263693,0.0921562779600358,0.0931951474250824,0.241315771514365,0.115789473684211,0.112930507071652,0.167615042058387,0.160414849277891,0.0475271189556904,0.183053040103493,0.180919675014658,0.199185399859011,0.148973098061903,0.0961581168110149,0.423076923076923,0.0640111932141139,0.0792236716512887,0.0820159691334869,0.132211538461538,0.080444780012355,0.0653554282174384,0.0998667887769545,0.0898831116485288,0.106571374359623,0.0879858657243816,0.0889830508474577,0.253037646902596,0.122537313432836,0.113674923651171,0.159129414831226,0.157308584686775,0.0477590561272569,0.191124780316345,0.183139534883721,0.20349119120737,0.146984527944427,0.0911428415121178,0.0327411825726142,0.0638429752066116,0.0765957446808511,0.0836613493543264,0.130542635658915,0.33364794714488,0.423547880690738,0.358314201377501,0.221049854919546,0.445600442722744,0.236314485244424,0.323465561476219,0.273108015973507,0.216795288383428,0.148179508890771,0.105581395348837,0.404449456633176,0.242256935092917,0.114472608340147,0.34603945672648,0.353355426677714,0.340881618180353,0.490856378233719,0.688123199645468,0.212437209893813,0.298284449363586,0.287811334376128,0.35076754385965,0.343206951026856,0.350769414290827,0.602322206095791,0.214884855879213,0.435193066625396,0.33050227796839,0.316765633018107,0.305651105651106,0.184217419777341,0.11531339031339,0.116444273783239,0.404610789621057,0.248955355179239,0.117009261350802,0.285936395759717,0.345274616526472,0.342844293423946,0.503559435862995,0.644605171901318,0.282512231198088,0.318558838776568,0.452038834951456,0.356045659526494,0.230769230769231,0.162135257885896,0.173073208421865
"8","Deltaproteobacteria",0,0,0,0,0,0,0,0,0.00143315362041903,0,7.19761039334941e-05,0,0,0,0,0,0,0.000144634075788256,0,0,4.37234926325915e-05,6.36334712058543e-05,0,0,0,0,0,0,0,0,0,0.000265586614434633,0,0,0,0,0,0,0,0,0.000315756236185665,0,0,0,0,0,0,0.00141576215195847,7.84929356357928e-05,0.00065595277140046,0.00237404378791876,0,0.00304122550123902,0,0.000681796045582936,0.00284321689683184,0.000423370025402202,0.00108527131782946,0.000410088168956326,0.00323188796121735,0.00136276914690651,0.00104094378903539,0,0.00153114674832782,0.000669045495093666,0.00044316419233326,0,0.00129127467256964,0.00138370833834677,0.000328947368421053,0.000394944707740916,0.000298222593343672,0.000677310111272375,0.00228763153881348,0,0.00421845998087631,0,0.000884520884520885,0.0022920759659463,0.00284900284900285,0.000959969280983009,0.00112002986746313,0.0019793270288102,0.0012423763270838,0.00113074204946997,0.000395843641761504,0.00169898061163302,0.000537273337810611,0.000891707123749133,0.000113778586869951,0.00207361327112494,0.0012621359223301,0.000634160090191657,0,0,0
